,STATE,REMARKS,,Crop,Districts,Production,Languages
,Gilgit-Baltistan,Gilgit-Baltistan,,Arhar/Tur,Skardu,54,"""NA"""
,Gilgit-Baltistan,Gilgit-Baltistan,,Arhar/Tur,Diamir,54,"""NA"""
,Gilgit-Baltistan,Gilgit-Baltistan,,Arhar/Tur,Ghanchi,54,"""NA"""
,Gilgit-Baltistan,Gilgit-Baltistan,,Arhar/Tur,Ghizer,54,"""NA"""
,Gilgit-Baltistan,Gilgit-Baltistan,,Arhar/Tur,Gilgit,54,"""NA"""
,Gilgit-Baltistan,Gilgit-Baltistan,,Arhar/Tur,Hunza Nagar,54,"""NA"""
4020,GOA,Konkan & Goa,,Arhar/Tur,NORTH GOA,8,"""NA"""
9540,GOA,Konkan & Goa,,Arhar/Tur,SOUTH GOA,8,"""NA"""
740,GUJARAT,Gujarat Region,,Arhar/Tur,PATAN,9,"""GUJARATI"""
2200,GUJARAT,Gujarat Region,,Arhar/Tur,ARAVALLI,9,"""GUJARATI"""
2700,GUJARAT,Gujarat Region,,Arhar/Tur,BHARUCH,9,"""BHILI"""
2940,GUJARAT,Gujarat Region,,Arhar/Tur,SABAR KANTHA,9,"""GUJARATI"""
3020,GUJARAT,Gujarat Region,,Arhar/Tur,VADODARA,9,"""BHILI"""
3660,GUJARAT,Gujarat Region,,Arhar/Tur,MAHESANA,9,"""GUJARATI"""
4380,GUJARAT,Gujarat Region,,Arhar/Tur,PANCH MAHALS,9,"""BHILI"""
4420,GUJARAT,Gujarat Region,,Arhar/Tur,DANG,9,"""BHILI"""
4680,GUJARAT,Gujarat Region,,Arhar/Tur,ANAND,9,"""GUJARATI"""
6980,GUJARAT,Gujarat Region,,Arhar/Tur,NARMADA,9,"""BHILI"""
7500,GUJARAT,Gujarat Region,,Arhar/Tur,TAPI,9,"""BHILI"""
7560,GUJARAT,Gujarat Region,,Arhar/Tur,VALSAD,9,"""BHILI"""
8140,GUJARAT,Gujarat Region,,Arhar/Tur,MAHISAGAR,9,"""BHILI"""
9460,GUJARAT,Gujarat Region,,Arhar/Tur,KHEDA,9,"""GUJARATI"""
9920,GUJARAT,Gujarat Region,,Arhar/Tur,CHHOTAUDEPUR,9,"""BHILI"""
9980,GUJARAT,Gujarat Region,,Arhar/Tur,SURAT,9,"""BHILI"""
10620,GUJARAT,Gujarat Region,,Arhar/Tur,NAVSARI,9,"""BHILI"""
10740,GUJARAT,Gujarat Region,,Arhar/Tur,DOHAD,9,"""BHILI"""
10780,GUJARAT,Gujarat Region,,Arhar/Tur,GANDHINAGAR,9,"""GUJARATI"""
12380,GUJARAT,Gujarat Region,,Arhar/Tur,BANAS KANTHA,9,"""GUJARATI"""
12480,GUJARAT,Gujarat Region,,Arhar/Tur,AHMADABAD,9,"""GUJARATI"""
660,GUJARAT,Saurashtra & Kutch,,Arhar/Tur,DEVBHUMI DWARKA,9,"""GUJARATI"""
1260,GUJARAT,Saurashtra & Kutch,,Arhar/Tur,BOTAD,9,"""GUJARATI"""
1960,GUJARAT,Saurashtra & Kutch,,Arhar/Tur,JUNAGADH,9,"""GUJARATI"""
3140,GUJARAT,Saurashtra & Kutch,,Arhar/Tur,SURENDRANAGAR,9,"""GUJARATI"""
3400,GUJARAT,Saurashtra & Kutch,,Arhar/Tur,BHAVNAGAR,9,"""GUJARATI"""
5280,GUJARAT,Saurashtra & Kutch,,Arhar/Tur,RAJKOT,9,"""GUJARATI"""
5900,GUJARAT,Saurashtra & Kutch,,Arhar/Tur,AMRELI,9,"""GUJARATI"""
6120,GUJARAT,Saurashtra & Kutch,,Arhar/Tur,JAMNAGAR,9,"""GUJARATI"""
6900,GUJARAT,Saurashtra & Kutch,,Arhar/Tur,GIR SOMNATH,9,"""GUJARATI"""
8060,GUJARAT,Saurashtra & Kutch,,Arhar/Tur,KACHCHH,9,"""KACHCHHI"""
8880,GUJARAT,Saurashtra & Kutch,,Arhar/Tur,MORBI,9,"""GUJARATI"""
13200,GUJARAT,Saurashtra & Kutch,,Arhar/Tur,PORBANDAR,9,"""GUJARATI"""
620,HARYANA,Haryana Delhi & Chandigarh,,Arhar/Tur,SONIPAT,10,"""HARYANVI"""
640,HARYANA,Haryana Delhi & Chandigarh,,Arhar/Tur,MAHENDRAGARH,10,"""HARYANVI"""
960,HARYANA,Haryana Delhi & Chandigarh,,Arhar/Tur,FARIDABAD,10,"""HARYANVI"""
1400,HARYANA,Haryana Delhi & Chandigarh,,Arhar/Tur,KURUKSHETRA,10,"""HARYANVI"""
1700,HARYANA,Haryana Delhi & Chandigarh,,Arhar/Tur,AMBALA,10,"""HARYANVI"""
2920,HARYANA,Haryana Delhi & Chandigarh,,Arhar/Tur,PANCHKULA,10,"""HARYANVI"""
3560,HARYANA,Haryana Delhi & Chandigarh,,Arhar/Tur,HISAR,10,"""HARYANVI"""
4160,HARYANA,Haryana Delhi & Chandigarh,,Arhar/Tur,KARNAL,10,"""HARYANVI"""
5580,HARYANA,Haryana Delhi & Chandigarh,,Arhar/Tur,JIND,10,"""HARYANVI"""
6320,HARYANA,Haryana Delhi & Chandigarh,,Arhar/Tur,MEWAT,10,"""HARYANVI"""
6340,HARYANA,Haryana Delhi & Chandigarh,,Arhar/Tur,GURGAON,10,"""HARYANVI"""
6940,HARYANA,Haryana Delhi & Chandigarh,,Arhar/Tur,KAITHAL,10,"""HARYANVI"""
7980,HARYANA,Haryana Delhi & Chandigarh,,Arhar/Tur,CHARKI DADRI,10,"""HARYANVI"""
8800,HARYANA,Haryana Delhi & Chandigarh,,Arhar/Tur,JHAJJAR,10,"""HARYANVI"""
10000,HARYANA,Haryana Delhi & Chandigarh,,Arhar/Tur,YAMUNANAGAR,10,"""HARYANVI"""
10440,HARYANA,Haryana Delhi & Chandigarh,,Arhar/Tur,ROHTAK,10,"""HARYANVI"""
10720,HARYANA,Haryana Delhi & Chandigarh,,Arhar/Tur,REWARI,10,"""HARYANVI"""
11220,HARYANA,Haryana Delhi & Chandigarh,,Arhar/Tur,PANIPAT,10,"""HARYANVI"""
12780,HARYANA,Haryana Delhi & Chandigarh,,Arhar/Tur,BHIWANI,10,"""HARYANVI"""
13020,HARYANA,Haryana Delhi & Chandigarh,,Arhar/Tur,PALWAL,10,"""HARYANVI"""
13100,HARYANA,Haryana Delhi & Chandigarh,,Arhar/Tur,FATEHABAD,10,"""HARYANVI"""
13220,HARYANA,Haryana Delhi & Chandigarh,,Arhar/Tur,SIRSA,10,"""HARYANVI"""
1140,HIMACHAL PRADESH,Himachal Pradesh,,Arhar/Tur,SIRMAUR,11,"""NA"""
1860,HIMACHAL PRADESH,Himachal Pradesh,,Arhar/Tur,UNA,11,"""NA"""
2820,HIMACHAL PRADESH,Himachal Pradesh,,Arhar/Tur,SOLAN,11,"""NA"""
4320,HIMACHAL PRADESH,Himachal Pradesh,,Arhar/Tur,CHAMBA,11,"""NA"""
6600,HIMACHAL PRADESH,Himachal Pradesh,,Arhar/Tur,LAHUL AND SPITI,11,"""NA"""
6840,HIMACHAL PRADESH,Himachal Pradesh,,Arhar/Tur,KULLU,11,"""NA"""
8400,HIMACHAL PRADESH,Himachal Pradesh,,Arhar/Tur,KANGRA,11,"""NA"""
8520,HIMACHAL PRADESH,Himachal Pradesh,,Arhar/Tur,MANDI,11,"""NA"""
9180,HIMACHAL PRADESH,Himachal Pradesh,,Arhar/Tur,BILASPUR,11,"""NA"""
10240,HIMACHAL PRADESH,Himachal Pradesh,,Arhar/Tur,KINNAUR,11,"""NA"""
10820,HIMACHAL PRADESH,Himachal Pradesh,,Arhar/Tur,HAMIRPUR,11,"""NA"""
12100,HIMACHAL PRADESH,Himachal Pradesh,,Arhar/Tur,SHIMLA,11,"""NA"""
,Islamabad Capital Territory,Islamabad Capital Territory,,Arhar/Tur,Islamabad,53,"""NA"""
540,JAMMU AND KASHMIR,Jammu & Kashmir,,Arhar/Tur,GANDERBAL,12,"""NA"""
1440,JAMMU AND KASHMIR,Jammu & Kashmir,,Arhar/Tur,BARAMULLA,12,"""NA"""
1920,JAMMU AND KASHMIR,Jammu & Kashmir,,Arhar/Tur,KATHUA,12,"""NA"""
2080,JAMMU AND KASHMIR,Jammu & Kashmir,,Arhar/Tur,SAMBA,12,"""NA"""
2160,JAMMU AND KASHMIR,Jammu & Kashmir,,Arhar/Tur,KULGAM,12,"""NA"""
4620,JAMMU AND KASHMIR,Jammu & Kashmir,,Arhar/Tur,PULWAMA,12,"""NA"""
