,STATE,REMARKS,,Crop,Districts,Production,Languages
1760,WEST BENGAL,Gangetic West Bengal,,Arhar/Tur,BIRBHUM,32,"""BENGALI"""
1820,WEST BENGAL,Gangetic West Bengal,,Arhar/Tur,HOWRAH,32,"""BENGALI"""
2480,WEST BENGAL,Gangetic West Bengal,,Arhar/Tur,DINAJPUR DAKSHIN,32,"""BENGALI"""
2760,WEST BENGAL,Gangetic West Bengal,,Arhar/Tur,PURULIA,32,"""BENGALI"""
2780,WEST BENGAL,Gangetic West Bengal,,Arhar/Tur,PASCHIM BARDHAMAN,32,"""BENGALI"""
4040,WEST BENGAL,Gangetic West Bengal,,Arhar/Tur,MEDINIPUR EAST,32,"""BENGALI"""
5120,WEST BENGAL,Gangetic West Bengal,,Arhar/Tur,BANKURA,32,"""BENGALI"""
5940,WEST BENGAL,Gangetic West Bengal,,Arhar/Tur,JHARGRAM,32,"""BENGALI"""
6300,WEST BENGAL,Gangetic West Bengal,,Arhar/Tur,MEDINIPUR WEST,32,"""BENGALI"""
6520,WEST BENGAL,Gangetic West Bengal,,Arhar/Tur,MALDAH,32,"""BENGALI"""
7640,WEST BENGAL,Gangetic West Bengal,,Arhar/Tur,PURBA BARDHAMAN,32,"""BENGALI"""
8540,WEST BENGAL,Gangetic West Bengal,,Arhar/Tur,MURSHIDABAD,32,"""BENGALI"""
11180,WEST BENGAL,Gangetic West Bengal,,Arhar/Tur,HOOGHLY,32,"""BENGALI"""
12160,WEST BENGAL,Gangetic West Bengal,,Arhar/Tur,PARAGANAS NORTH,32,"""BENGALI"""
12980,WEST BENGAL,Gangetic West Bengal,,Arhar/Tur,PARAGANAS SOUTH,32,"""BENGALI"""
2640,WEST BENGAL,Sub Himalayan West Bengal & Sikkim,,Arhar/Tur,COOCHBEHAR,32,"""BENGALI"""
4500,WEST BENGAL,Sub Himalayan West Bengal & Sikkim,,Arhar/Tur,DARJEELING,32,"""BENGALI"""
6540,WEST BENGAL,Sub Himalayan West Bengal & Sikkim,,Arhar/Tur,ALIPURDUAR,32,"""BENGALI"""
8300,WEST BENGAL,Sub Himalayan West Bengal & Sikkim,,Arhar/Tur,JALPAIGURI,32,"""BENGALI"""
8360,WEST BENGAL,Sub Himalayan West Bengal & Sikkim,,Arhar/Tur,KALIMPONG,32,"""BENGALI"""
8460,WEST BENGAL,Sub Himalayan West Bengal & Sikkim,,Arhar/Tur,DINAJPUR UTTAR,32,"""BENGALI"""
