Districts,Languages
SOUTH GARO HILLS,"""NA"""
SOUTH WEST GARO HILLS,"""NA"""
WEST KHASI HILLS,"""NA"""
SOUTH WEST KHASI HILLS,"""NA"""
NORTH GARO HILLS,"""NA"""
EAST GARO HILLS,"""NA"""
AIZAWL,"""NA"""
KOLASIB,"""NA"""
LUNGLEI,"""NA"""
MAMIT,"""NA"""
CHAMPHAI,"""NA"""
LAWNGTLAI,"""NA"""
SAIHA,"""NA"""
SERCHHIP,"""NA"""
DIMAPUR,"""NA"""
PEREN,"""NA"""
PHEK,"""NA"""
KIPHIRE,"""NA"""
MON,"""NA"""
MOKOKCHUNG,"""NA"""
WOKHA,"""NA"""
TUENSANG,"""NA"""
ZUNHEBOTO,"""NA"""
LONGLENG,"""NA"""
KOHIMA,"""NA"""
KALAHANDI,"""ORIYA"""
KENDUJHAR,"""ORIYA"""
BARGARH,"""ORIYA"""
SUNDARGARH,"""ORIYA"""
NUAPADA,"""ORIYA"""
BOUDH,"""ORIYA"""
JAGATSINGHAPUR,"""ORIYA"""
KORAPUT,"""ORIYA"""
MAYURBHANJ,"""ORIYA"""
KHORDHA,"""ORIYA"""
BALANGIR,"""ORIYA"""
ANUGUL,"""ORIYA"""
NABARANGPUR,"""ORIYA"""
RAYAGADA,"""DRAVIDIAN"""
BHADRAK,"""ORIYA"""
GAJAPATI,"""ORIYA"""
SAMBALPUR,"""ORIYA"""
KANDHAMAL,"""ORIYA"""
JHARSUGUDA,"""ORIYA"""
JAJAPUR,"""ORIYA"""
GANJAM,"""ORIYA"""
NAYAGARH,"""ORIYA"""
CUTTACK,"""ORIYA"""
SONEPUR,"""ORIYA"""
MALKANGIRI,"""ORIYA"""
PURI,"""ORIYA"""
DHENKANAL,"""ORIYA"""
DEOGARH,"""ORIYA"""
KENDRAPARA,"""ORIYA"""
BALESHWAR,"""ORIYA"""
PONDICHERRY,"""NA"""
KARAIKAL,"""NA"""
MAHE,"""NA"""
YANAM,"""NA"""
FAZILKA,"""PUNJABI"""
KAPURTHALA,"""PUNJABI"""
BATHINDA,"""PUNJABI"""
FARIDKOT,"""PUNJABI"""
SANGRUR,"""PUNJABI"""
PATHANKOT,"""PUNJABI"""
FATEHGARH SAHIB,"""PUNJABI"""
GURDASPUR,"""PUNJABI"""
LUDHIANA,"""PUNJABI"""
PATIALA,"""PUNJABI"""
RUPNAGAR,"""PUNJABI"""
HOSHIARPUR,"""PUNJABI"""
MUKTSAR,"""PUNJABI"""
MANSA,"""PUNJABI"""
S NAGAR,"""PUNJABI"""
TARN TARAN,"""PUNJABI"""
AMRITSAR,"""PUNJABI"""
FIROZEPUR,"""PUNJABI"""
SHAHID BHAGAT SINGH NAGAR,"""PUNJABI"""
JALANDHAR,"""PUNJABI"""
MOGA,"""PUNJABI"""
BARNALA,"""PUNJABI"""
Chiniot,"""NA"""
Lahore,"""NA"""
Bhakkar,"""NA"""
Gujrat,"""NA"""
Mandi Bahauddin,"""NA"""
Hafizabad,"""NA"""
Khushab,"""NA"""
Attock,"""NA"""
Jhang,"""NA"""
Bahawalnagar,"""NA"""
Bahawalpur,"""NA"""
Chakwal,"""NA"""
Dera Ghazi Khan,"""NA"""
Faisalabad,"""NA"""
Gujranwala,"""NA"""
Jhelum,"""NA"""
Kasur,"""NA"""
Khanewal,"""NA"""
Layyah,"""NA"""
Lodhran,"""NA"""
Mianwali,"""NA"""
Multan,"""NA"""
Muzaffargarh,"""NA"""
Nankana Sahib,"""NA"""
Narowal,"""NA"""
Okara,"""NA"""
Pakpattan,"""NA"""
Rahim Yar Khan,"""NA"""
Rajanpur,"""NA"""
Rawalpindi,"""NA"""
Sahiwal,"""NA"""
Sargodha,"""NA"""
Sheikhupura,"""NA"""
Sialkot,"""NA"""
Toba Tek Singh,"""NA"""
Vehari,"""NA"""
AJMER,"""MARWARI"""
KARAULI,"""MARWARI"""
SAWAI MADHOPUR,"""MARWARI"""
CHURU,"""MARWARI"""
SIROHI,"""SIROHI"""
JALORE,"""GODWARI"""
KOTA,"""MARWARI"""
PRATAPGARH,"""MEWARI"""
ALWAR,"""MARWARI"""
GANGANAGAR,"""MARWARI"""
BANSWARA,"""VAGDI"""
BHILWARA,"""MARWARI"""
JHUNJHUNU,"""MARWARI"""
JAIPUR,"""MARWARI"""
CHITTORGARH,"""MEWARI"""
DAUSA,"""MARWARI"""
PALI,"""MARWARI"""
TONK,"""MARWARI"""
DUNGARPUR,"""VAGDI"""
SIKAR,"""MARWARI"""
BHARATPUR,"""MARWARI"""
DHOLPUR,"""MARWARI"""
RAJSAMAND,"""MEWARI"""
BUNDI,"""MARWARI"""
NAGAUR,"""MARWARI"""
HANUMANGARH,"""MARWARI"""
BARAN,"""MARWARI"""
RATLAM,"""VAGDI"""
UDAIPUR,"""MEWARI"""
JHALAWAR,"""MARWARI"""
BARMER,"""MARWARI"""
